요양기관명,종별코드명,시도코드명,시군구코드명,주소,개설일자
시원한의원,한의원,서울,마포구,"서울특별시 마포구 월드컵로13길 83, 동명빌딩 1층 (망원동)",2020-05-13
시원한의원,한의원,서울,성북구,"서울특별시 성북구 도봉로 23, 2층 (길음동)",2019-07-17
시원한이비인후과의원,의원,서울,노원구,"서울특별시 노원구 동일로204가길 34, 305호 (중계동, 씨앤미빌딩)",2005-02-28
시원한이비인후과의원,의원,서울,중랑구,"서울특별시 중랑구 동일로 796, 신한은행 (중화동)",2009-03-10
시원한이비인후과의원,의원,서울,강서구,"서울특별시 강서구 마곡중앙5로 81, 에스비타운 2층 202,203,204호 (마곡동)",2015-02-17
시원항외과의원,의원,서울,강서구,"서울특별시 강서구 강서로 43, 7층 (화곡동, 도양라비앙타워)",2010-04-14
시작한의원,한의원,서울,강남구,"서울특별시 강남구 선릉로 340, 대치 EM 프라자 4층 (대치동)",2012-11-22
시중한의원,한의원,서울,노원구,"서울특별시 노원구 한글비석로52길 18, (상계동)",2003-12-29
시중한의원,한의원,서울,종로구,"서울특별시 종로구 자하문로 11-1, 2층 (체부동)",2006-01-11
시즈까의원,의원,서울,중구,"서울특별시 중구 퇴계로 123, 하이헤리엇 8층 23, 24호 (충무로2가)",2023-09-01
시즈의원,의원,서울,강남구,"서울특별시 강남구 도산대로57길 24, 2층 (청담동)",2020-11-04
시청서울구강내과치과의원,치과의원,서울,중구,"서울특별시 중구 무교로 13, 휘닉스빌딩 7층 (무교동)",2024-09-10
시청역성모정신건강의학과의원,의원,서울,중구,"서울특별시 중구 세종대로 74, 삼정빌딩 302~303호 (태평로2가)",2022-06-02
시청역성모정형외과의원,의원,서울,중구,"서울특별시 중구 세종대로11길 30, 에이치케이스퀘어빌딩 3층, 2층일부층 (서소문동)",2020-02-26
시청역에이엠재활의학과의원,의원,서울,중구,"서울특별시 중구 서소문로 115, 한산빌딩 2층 202호 (서소문동)",2024-10-24
시청하늘정신건강의학과의원,의원,서울,중구,"서울특별시 중구 무교로 13, 휘닉스빌딩 6층 (무교동)",2024-02-27
시카고백중치과의원,치과의원,서울,노원구,"서울특별시 노원구 동일로 1402, 3층 (상계동)",2009-09-14
시카고부부치과의원,치과의원,서울,영등포구,"서울특별시 영등포구 양산로 202, (영등포동5가,2층)",2009-06-09
시카고아이치과의원,치과의원,서울,동작구,"서울특별시 동작구 사당로 230, 2층 (사당동)",2005-05-04
시카고우리치과의원,치과의원,서울,도봉구,"서울특별시 도봉구 방학로 187, (방학동)",2012-05-15
시카고웰빙치과의원,치과의원,서울,중랑구,"서울특별시 중랑구 면목로 492, 301호 (상봉동, 주연빌딩)",2004-05-07
시카고초콜렛치과의원,치과의원,서울,강남구,"서울특별시 강남구 선릉로 703, 3층 (논현동)",2012-03-26
시카고초콜렛치과의원,치과의원,서울,동대문구,"서울특별시 동대문구 천호대로 2, 3층 (신설동)",2005-05-09
시카고치과병원,치과병원,서울,동대문구,"서울특별시 동대문구 천호대로 2, (신설동)",2003-12-22
시카고치과의원,치과의원,서울,강남구,"서울특별시 강남구 선릉로 312, 2층 28호 (대치동)",2007-02-21
시카고치과의원,치과의원,서울,노원구,"서울특별시 노원구 동일로 1372, 2층 (상계동, 동보빌딩)",2004-02-25
시카고치과의원,치과의원,서울,용산구,"서울특별시 용산구 독서당로 65-1, 문약국 3층 (한남동)",2007-10-25
시카고치과의원,치과의원,서울,성북구,"서울특별시 성북구 정릉로 250, 3층 (정릉동)",2009-04-30
시크릿성형외과의원,의원,서울,강남구,"서울특별시 강남구 강남대로 372, (역삼동, 화인타워 4층)",2010-08-09
시크릿의원,의원,서울,강남구,"서울특별시 강남구 강남대로 458, 남영빌딩 5층 (역삼동)",2021-12-22
시크릿치과의원,치과의원,서울,서초구,"서울특별시 서초구 방배로 95, 서경빌딩 4층 402호 (방배동)",2016-08-16
시흥연세치과의원,치과의원,서울,금천구,"서울특별시 금천구 시흥대로 97, A동 309호 (시흥동, 시흥유통상가 )",1995-12-01
시흥우리들소아청소년과의원,의원,서울,금천구,"서울특별시 금천구 시흥대로 214, 402호 (시흥동, 비즈메디빌딩)",2009-08-24
시흥의원,의원,서울,금천구,"서울특별시 금천구 시흥대로 240, (시흥동)",1990-11-28
식치합시다정세연한의원,한의원,서울,성동구,"서울특별시 성동구 성수일로3길 3-16, 2층 (성수동1가)",2016-05-27
신.홍산부인과의원,의원,서울,마포구,"서울특별시 마포구 만리재로 31, 성은빌딩 2~3층 (신공덕동)",1994-03-12
신갈강남치과의원,치과의원,경기,용인기흥구,"경기도 용인시 기흥구 신구로12번길 19, (구갈동)",2004-09-03
신갈우리신경외과의원,의원,경기,용인기흥구,"경기도 용인시 기흥구 새천년로16번길 3-6, 성지빌딩 4층 401~402호 (신갈동)",2025-01-13
신갈트리플에이치과의원,치과의원,경기,용인기흥구,"경기도 용인시 기흥구 새천년로26번길 10, 3층 (신갈동, 반석프라자)",2005-07-11
신갈편한한의원,한의원,경기,용인기흥구,"경기도 용인시 기흥구 중부대로 317, 안전빌딩 4층 (신갈동)",2023-05-15
신갈한의원,한의원,경기,용인기흥구,"경기도 용인시 기흥구 중부대로 375, 29~32호 (신갈동, 기흥역 롯데캐슬스카이)",2024-04-29
신강한의원,한의원,서울,동대문구,"서울특별시 동대문구 천호대로 425, 5층 (장안동)",2015-07-07
신경란의원,의원,서울,용산구,"서울특별시 용산구 우사단로 2-1, 2층 (보광동)",1987-04-25
신경한의원,한의원,서울,강동구,"서울특별시 강동구 진황도로 8-1, (천호동)",1968-10-23
신계원소아청소년과의원,의원,서울,마포구,"서울특별시 마포구 망원로 74-1, 2층 (망원동)",1991-10-08
신곡경희한의원,한의원,서울,양천구,"서울특별시 양천구 신월로 160, 엘닉스사옥 2층층 (신월동)",2004-12-01
신광철치과의원,치과의원,서울,강동구,"서울특별시 강동구 천호대로 1200, (둔촌동)",1999-04-19
신근만에스마취통증의학과의원,의원,서울,송파구,"서울특별시 송파구 백제고분로 276, 공익빌딩 4층 (석촌동)",2019-02-27
신기현치과의원,치과의원,서울,서초구,"서울특별시 서초구 동광로12가길 42, 2층 (방배동)",2010-01-20
신길경희한의원,한의원,서울,영등포구,"서울특별시 영등포구 도신로 235, 104호 (신길동)",2017-07-10
신길내과의원,의원,서울,영등포구,"서울특별시 영등포구 가마산로 483, 에이동 3층 306,307,308호 (신길동, 신길 483, 에이동 3층 306,307,308호 (신길동, 신길 AK 푸르지오)",2025-08-27
신길바른몸한의원,한의원,서울,영등포구,"서울특별시 영등포구 신풍로 93, 메트하임 2층 201호 (신길동)",2018-09-21
신길베스트마취통증의학과의원,의원,서울,영등포구,"서울특별시 영등포구 도신로60길 2, 미주 메디컬 빌딩 5층 (신길동)",2022-03-22
신길서울좋은치과의원,치과의원,서울,영등포구,"서울특별시 영등포구 도신로60길 1, (신길동)",2010-08-27
신길스마트치과의원,치과의원,서울,영등포구,"서울특별시 영등포구 도신로 235, 2층 201호 (신길동)",2016-09-08
신길연세365의원,의원,서울,영등포구,"서울특별시 영등포구 도신로 120, 신영빌딩 2~3층 (신길동)",2011-03-31
신길연세이비인후과의원,의원,서울,영등포구,"서울특별시 영등포구 가마산로 496, JS496타워 204호 (신길동)",2020-05-13
신길정성치과의원,치과의원,서울,영등포구,"서울특별시 영등포구 가마산로 480, S.J빌딩 301호 (신길동)",2023-10-30
신길튼튼정형외과의원,의원,서울,영등포구,"서울특별시 영등포구 신길로 137, 신길태원빌딩 3층 (신길동)",2020-09-21
신길퍼스트치과의원,치과의원,서울,영등포구,"서울특별시 영등포구 신길로28길 9, 근린생활시설동 지하1층 5,6호 (신길동, 힐스테이트 클래시안)",2020-12-03
신길플란트치과의원,치과의원,서울,영등포구,"서울특별시 영등포구 신길로 158, 2~3층 (신길동)",2016-03-30
